pop,asn,type
saopaulo,4809,route_server_peer
saopaulo,271419,route_server_peer
saopaulo,264342,route_server_peer
saopaulo,53143,route_server_peer
saopaulo,267026,route_server_peer
saopaulo,271145,route_server_peer
saopaulo,263475,route_server_peer
saopaulo,268790,route_server_peer
saopaulo,23074,route_server_peer
saopaulo,268321,route_server_peer
saopaulo,271500,route_server_peer
saopaulo,61599,route_server_peer
saopaulo,262504,route_server_peer
saopaulo,8674,route_server_peer
saopaulo,270382,route_server_peer
saopaulo,266948,route_server_peer
saopaulo,263518,route_server_peer
saopaulo,53201,route_server_peer
saopaulo,52973,route_server_peer
saopaulo,52765,route_server_peer
saopaulo,265282,route_server_peer
saopaulo,268683,route_server_peer
saopaulo,271575,route_server_peer
saopaulo,262821,route_server_peer
saopaulo,262807,route_server_peer
saopaulo,262459,route_server_peer
saopaulo,61676,route_server_peer
saopaulo,262880,route_server_peer
saopaulo,262470,route_server_peer
saopaulo,265022,route_server_peer
saopaulo,263608,route_server_peer
saopaulo,19990,route_server_peer
saopaulo,28294,route_server_peer
saopaulo,262301,route_server_peer
saopaulo,269015,route_server_peer
saopaulo,28666,route_server_peer
saopaulo,30058,route_server_peer
saopaulo,265043,route_server_peer
saopaulo,267170,route_server_peer
saopaulo,263139,route_server_peer
saopaulo,262287,route_server_peer
saopaulo,266192,route_server_peer
saopaulo,264903,route_server_peer
saopaulo,268319,route_server_peer
saopaulo,271652,route_server_peer
saopaulo,61935,route_server_peer
saopaulo,263073,route_server_peer
saopaulo,269385,route_server_peer
saopaulo,265302,route_server_peer
saopaulo,267429,route_server_peer
saopaulo,264450,route_server_peer
saopaulo,272526,route_server_peer
saopaulo,52888,route_server_peer
saopaulo,268554,route_server_peer
saopaulo,271548,route_server_peer
saopaulo,266620,route_server_peer
saopaulo,52873,route_server_peer
saopaulo,262435,route_server_peer
saopaulo,61729,route_server_peer
saopaulo,61604,route_server_peer
saopaulo,270241,route_server_peer
saopaulo,265189,route_server_peer
